tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0046593,The Magical World of Disney,30,6.800000000000001,187.53846153846155
tt0046593,The Magical World of Disney,31,6.816666666666666,122.61111111111111
tt0046593,The Magical World of Disney,32,6.499999999999999,120.625
tt0046593,The Magical World of Disney,33,7.159999999999999,61.8
tt0046593,The Magical World of Disney,34,7.65,258.25
tt0046600,Father Knows Best,1,7.3307692307692305,27.576923076923077
tt0046600,Father Knows Best,2,7.429729729729731,22.0
tt0046600,Father Knows Best,3,7.778378378378378,19.83783783783784
tt0046600,Father Knows Best,4,7.578787878787879,16.151515151515152
tt0046600,Father Knows Best,5,7.578947368421052,14.157894736842104
tt0046600,Father Knows Best,6,7.575,14.75
tt0046617,Lassie,1,7.188461538461538,15.038461538461538
tt0046617,Lassie,2,7.138461538461536,13.820512820512821
tt0046617,Lassie,3,7.01842105263158,9.973684210526315
tt0046617,Lassie,4,6.5625,9.8
tt0046617,Lassie,5,6.633333333333333,10.871794871794872
tt0046617,Lassie,6,7.227027027027025,11.324324324324325
tt0046617,Lassie,7,7.24722222222222,7.555555555555555
tt0046617,Lassie,8,7.316666666666667,8.222222222222221
tt0046617,Lassie,9,7.084375000000002,6.03125
tt0046617,Lassie,10,7.1965517241379295,6.896551724137931
tt0046617,Lassie,11,7.163636363636365,8.575757575757576
tt0046617,Lassie,12,7.046875,8.75
tt0046617,Lassie,13,7.196666666666667,7.733333333333333
tt0046617,Lassie,14,7.0321428571428575,6.142857142857143
tt0046617,Lassie,15,6.840740740740743,6.222222222222222
tt0046617,Lassie,16,7.113636363636363,6.7727272727272725
tt0046617,Lassie,17,6.985714285714287,7.714285714285714
tt0046617,Lassie,18,6.669999999999999,7.85
tt0046617,Lassie,19,7.439130434782609,9.391304347826088
tt0046642,Sherlock Holmes,1,6.735897435897434,68.92307692307692
tt0046658,Victory at Sea,1,8.107692307692307,47.23076923076923
tt0047706,The Adventures of Robin Hood,1,7.37948717948718,29.564102564102566
tt0047706,The Adventures of Robin Hood,2,7.264102564102566,11.564102564102564
tt0047706,The Adventures of Robin Hood,3,7.676923076923079,11.58974358974359
tt0047706,The Adventures of Robin Hood,4,7.6076923076923055,8.653846153846153
tt0047708,Alfred Hitchcock Presents,1,7.2333333333333325,554.5641025641025
tt0047708,Alfred Hitchcock Presents,2,7.266666666666665,298.43589743589746
tt0047708,Alfred Hitchcock Presents,3,7.456410256410257,247.84615384615384
tt0047708,Alfred Hitchcock Presents,4,7.463888888888887,193.02777777777777
tt0047708,Alfred Hitchcock Presents,5,7.460526315789475,172.44736842105263
tt0047708,Alfred Hitchcock Presents,6,7.494736842105265,139.26315789473685
tt0047708,Alfred Hitchcock Presents,7,7.45897435897436,130.89743589743588
tt0047718,Captain Kangaroo,21,8.5,6.0
tt0047720,Cheyenne,1,8.1,69.66666666666667
tt0047720,Cheyenne,2,8.260000000000002,42.7
tt0047720,Cheyenne,3,8.434999999999999,37.7
tt0047720,Cheyenne,4,8.276923076923076,39.15384615384615
tt0047720,Cheyenne,5,8.392307692307693,36.23076923076923
tt0047720,Cheyenne,6,8.135714285714284,32.5
tt0047720,Cheyenne,7,8.153846153846155,33.23076923076923
tt0047736,Gunsmoke,1,7.825641025641027,96.2051282051282
tt0047736,Gunsmoke,2,7.7948717948717965,73.64102564102564
tt0047736,Gunsmoke,3,7.825641025641027,80.8974358974359
tt0047736,Gunsmoke,4,7.73846153846154,72.76923076923077
tt0047736,Gunsmoke,5,7.817948717948714,74.07692307692308
tt0047736,Gunsmoke,6,7.884210526315789,68.94736842105263
tt0047736,Gunsmoke,7,7.938235294117648,85.11764705882354
tt0047736,Gunsmoke,8,7.952631578947369,85.10526315789474
tt0047736,Gunsmoke,9,7.944444444444446,84.11111111111111
tt0047736,Gunsmoke,10,7.838888888888889,73.11111111111111
tt0047736,Gunsmoke,11,7.953125000000002,66.8125
tt0047736,Gunsmoke,12,7.986206896551723,77.3103448275862
tt0047736,Gunsmoke,13,7.888000000000002,61.64
tt0047736,Gunsmoke,14,7.734615384615386,60.5
tt0047736,Gunsmoke,15,7.684615384615385,63.23076923076923
tt0047736,Gunsmoke,16,7.5625,63.791666666666664
tt0047736,Gunsmoke,17,7.941666666666667,64.125
tt0047736,Gunsmoke,18,7.733333333333334,67.5
tt0047736,Gunsmoke,19,7.791666666666664,64.0
tt0047736,Gunsmoke,20,7.9750000000000005,66.25
tt0047739,Highway Patrol,1,7.910256410256409,30.41025641025641
tt0047739,Highway Patrol,2,7.887179487179487,25.435897435897434
tt0047739,Highway Patrol,3,7.912820512820515,19.871794871794872
tt0047739,Highway Patrol,4,8.010256410256412,16.153846153846153
tt0047750,The Life and Legend of Wyatt Earp,1,7.784848484848486,25.12121212121212
tt0047750,The Life and Legend of Wyatt Earp,2,7.812820512820511,17.846153846153847
tt0047750,The Life and Legend of Wyatt Earp,3,7.741025641025642,17.435897435897434
tt0047750,The Life and Legend of Wyatt Earp,4,7.762162162162165,15.054054054054054
tt0047750,The Life and Legend of Wyatt Earp,5,7.9902439024390235,17.804878048780488
tt0047750,The Life and Legend of Wyatt Earp,6,8.118918918918922,20.216216216216218
tt0047757,The Mickey Mouse Club,1,7.840000000000001,8.8
tt0047757,The Mickey Mouse Club,2,4.9,7.0
tt0047763,The Phil Silvers Show,1,8.30294117647059,24.970588235294116
tt0047763,The Phil Silvers Show,2,8.108333333333334,22.0
tt0047763,The Phil Silvers Show,3,7.654054054054054,14.891891891891891
tt0047763,The Phil Silvers Show,4,7.7771428571428585,12.314285714285715
tt0048845,As the World Turns,1,4.204000000000001,10.12
tt0048845,As the World Turns,30,7.7,15.0
tt0050022,The Gumby Show,1,7.0,9.0
tt0050022,The Gumby Show,2,5.0,7.0
tt0050025,Have Gun - Will Travel,1,7.994871794871797,76.84615384615384
tt0050025,Have Gun - Will Travel,2,7.912820512820509,57.43589743589744
tt0050025,Have Gun - Will Travel,3,7.666666666666667,49.53846153846154
tt0050025,Have Gun - Will Travel,4,7.744736842105263,50.44736842105263
tt0050025,Have Gun - Will Travel,5,7.523684210526315,39.526315789473685
tt0050025,Have Gun - Will Travel,6,7.603125000000001,39.5
tt0050032,Leave It to Beaver,1,7.704999999999998,66.8
tt0050032,Leave It to Beaver,2,7.889743589743589,52.717948717948715
tt0050032,Leave It to Beaver,3,7.892307692307691,50.02564102564103
tt0050032,Leave It to Beaver,4,7.699999999999998,44.8974358974359
tt0050032,Leave It to Beaver,5,7.75897435897436,45.8974358974359
tt0050032,Leave It to Beaver,6,7.748717948717951,53.51282051282051
tt0050033,The Lucy-Desi Comedy Hour,1,8.4,90.6
tt0050033,The Lucy-Desi Comedy Hour,2,7.980000000000001,68.0
tt0050033,The Lucy-Desi Comedy Hour,3,8.4,63.333333333333336
tt0050037,Maverick,1,8.092592592592593,64.4074074074074
tt0050037,Maverick,2,8.150000000000002,64.57692307692308
tt0050037,Maverick,3,7.907692307692306,45.73076923076923
